,INFY.NS,^NSEI
2012-07-13,423.29175999999995,5227.25
2012-07-16,412.18647000000004,5197.25
2012-07-17,412.1766,5192.850098
2012-07-18,413.62917999999996,5216.299805
2012-07-19,426.21518,5242.700195
2012-07-20,421.19445999999994,5205.100098
2012-07-23,415.56552999999997,5117.950195
2012-07-24,411.68301,5128.200195
2012-07-25,411.6648,5109.600098
2012-07-26,403.16936,5043.0
2012-07-27,407.88634,5099.850098
2012-07-30,419.47607999999997,5199.799805
2012-07-31,422.75034000000005,5229.0
2012-08-01,421.1565,5240.5
2012-08-02,418.72661,5227.75
2012-08-03,419.24829,5215.700195
2012-08-06,420.82392000000004,5282.549805
2012-08-07,427.75285999999994,5336.700195
2012-08-08,433.50484000000006,5338.0
2012-08-09,433.21095,5322.950195
2012-08-10,439.09581,5320.399902
2012-08-13,440.43377999999996,5347.899902
2012-08-14,442.19010999999995,5380.350098
2012-08-15,442.19010999999995,5380.350098
2012-08-16,439.55065,5362.950195
2012-08-17,446.3095,5366.299805
2012-08-20,446.3095,5366.299805
2012-08-21,457.31,5421.0
2012-08-22,461.97992999999997,5412.850098
2012-08-23,470.25665999999995,5415.350098
2012-08-24,464.10605999999996,5386.700195
2012-08-27,457.8605,5350.25
2012-08-28,459.61609000000004,
2012-08-29,453.38044,5287.799805
2012-08-30,454.21569000000005,5315.049805
2012-08-31,448.32097000000005,5258.5
2012-09-03,448.9763,5253.75
2012-09-04,448.16000999999994,5274.0
2012-09-05,444.10666,5225.700195
2012-09-06,459.77784,5238.399902
2012-09-07,472.16413,5342.100098
2012-09-10,476.92972000000003,5363.450195
2012-09-11,480.18499,5390.0
2012-09-12,482.12127999999996,5431.0
2012-09-13,485.03562,5435.350098
2012-09-14,499.66197,5577.649902
2012-09-17,486.82917000000003,5610.0
2012-09-18,493.72015999999996,5600.049805
2012-09-19,493.72015999999996,5600.049805
2012-09-20,496.83342000000005,5554.25
2012-09-21,492.2964,5691.149902
2012-09-24,493.59637000000004,5669.600098
2012-09-25,493.19847999999996,5673.899902
2012-09-26,491.53707,5663.450195
2012-09-27,483.95358,5649.5
2012-09-28,481.2192,5703.299805
2012-10-01,495.39979000000005,5718.799805
2012-10-02,495.39979000000005,5718.799805
2012-10-03,489.43902,5731.25
2012-10-04,488.94543,5787.600098
2012-10-05,479.68232,5746.950195
2012-10-08,472.34484000000003,5676.0
2012-10-09,481.466,5704.600098
2012-10-10,475.37230999999997,5652.149902
2012-10-11,480.88735999999994,5708.049805
2012-10-12,454.71915,5676.049805
2012-10-15,449.07122000000004,5687.25
2012-10-16,447.19184,5648.0
2012-10-17,449.93456,5660.25
2012-10-18,463.07183,5718.700195
2012-10-19,464.19210999999996,5684.25
2012-10-22,464.62057999999996,5717.149902
2012-10-23,458.30010999999996,5691.399902
2012-10-24,458.30010999999996,5691.399902
2012-10-25,456.67419,5705.299805
2012-10-26,453.72314000000006,5664.299805
2012-10-29,454.87223,5665.600098
2012-10-30,459.32300000000004,5597.899902
2012-10-31,460.22825,5619.700195
2012-11-01,460.54922,5645.049805
2012-11-02,465.11686,5697.700195
2012-11-05,463.23697000000004,5704.200195
2012-11-06,463.86020999999994,5724.399902
2012-11-07,468.29148,5760.100098
2012-11-08,462.62387,5738.75
2012-11-09,457.44311,5686.25
2012-11-12,459.43907,5683.700195
2012-11-13,455.41758,5666.950195
2012-11-14,455.41758,5666.950195
2012-11-15,447.23748,5631.0
2012-11-16,456.40153,5574.049805
2012-11-19,459.36194000000006,5571.399902
2012-11-20,452.7789,5571.549805
2012-11-21,457.6675,5614.799805
2012-11-22,464.04565999999994,5627.75
2012-11-23,463.06247,5626.600098
2012-11-26,470.82342,5635.899902
2012-11-27,481.19424000000004,5727.450195
2012-11-28,481.19424000000004,5727.450195
2012-11-29,476.24725,5825.0
2012-11-30,474.61199999999997,5879.850098
2012-12-03,475.05915999999996,5870.950195
2012-12-04,474.72807,5889.25
2012-12-05,464.02615999999995,5900.5
2012-12-06,455.41758,5930.899902
2012-12-07,452.07697,5907.399902
2012-12-10,450.59755,5908.899902
2012-12-11,446.79964,5898.799805
2012-12-12,447.52963,5888.0
2012-12-13,444.75460999999996,5851.5
2012-12-14,443.8291,5879.600098
2012-12-17,441.38442000000003,5857.899902
2012-12-18,442.30993,5896.799805
2012-12-19,447.20786,5929.600098
2012-12-20,447.88021,5916.399902
2012-12-21,447.34499000000005,5847.700195
2012-12-24,452.30135,5855.75
2012-12-25,452.30135,
2012-12-26,450.92787000000004,5905.600098
2012-12-27,445.57260999999994,5870.100098
2012-12-28,452.47662,5908.350098
2012-12-31,451.60017999999997,5905.100098
2013-01-01,449.68215999999995,
2013-01-02,449.74992000000003,5993.25
2013-01-03,455.33965,6009.5
2013-01-04,457.60905999999994,6016.149902
2013-01-07,462.52648,5988.399902
2013-01-08,456.52772999999996,6001.700195
2013-01-09,453.99579000000006,5971.5
2013-01-10,452.30135,5968.649902
2013-01-11,528.22052,5951.299805
2013-01-14,546.6062599999999,6024.049805
2013-01-15,542.81848,6056.600098
2013-01-16,539.00032,6001.850098
2013-01-17,544.94064,6039.200195
2013-01-18,543.01325,6064.399902
2013-01-21,544.61967,6082.299805
2013-01-22,542.13681,6048.5
2013-01-23,543.31476,6054.299805
2013-01-24,544.98971,6019.350098
2013-01-25,548.1931900000001,6074.649902
2013-01-28,547.41413,6074.799805
2013-01-29,545.14553,6049.899902
2013-01-30,543.51885,6055.75
2013-01-31,543.2952700000001,6034.75
2013-02-01,539.682,5998.899902
2013-02-04,539.02995,5987.25
2013-02-05,536.75117,5956.899902
2013-02-06,540.66595,5959.200195
2013-02-07,543.2952700000001,5938.799805
2013-02-08,543.2851400000001,5903.5
2013-02-11,543.7923099999999,5897.850098
2013-02-12,536.62421,5922.5
2013-02-13,543.3054,5932.950195
2013-02-14,547.82392,5896.950195
2013-02-15,543.12,5887.399902
2013-02-18,541.4645,5898.200195
2013-02-19,549.32284,5939.700195
2013-02-20,549.12807,5943.049805
2013-02-21,546.85947,5852.25
2013-02-22,553.23838,5850.299805
2013-02-25,568.28355,5854.75
2013-02-26,576.46365,5761.350098
2013-02-27,566.87189,5796.899902
2013-02-28,566.18008,5693.049805
2013-03-01,567.50449,5719.700195
2013-03-04,565.48828,5719.700195
2013-03-05,568.96522,5719.700195
2013-03-06,578.46974,5719.700195
2013-03-07,585.1408,5719.700195
2013-03-08,578.49855,5719.700195
2013-03-11,573.72758,5942.350098
2013-03-12,568.34199,5914.100098
2013-03-13,557.6977,5851.200195
2013-03-14,559.77235,5908.950195
2013-03-15,560.58023,5872.600098
2013-03-18,557.17261,5835.25
2013-03-19,556.2471,5745.950195
2013-03-20,558.12618,5694.399902
2013-03-21,559.51915,5658.75
2013-03-22,557.64939,5651.350098
2013-03-25,555.6145,5633.850098
2013-03-26,555.96508,5641.600098
2013-03-27,555.96508,5641.600098
2013-03-28,562.74289,5682.549805
2013-03-29,562.74289,
2013-04-01,573.42531,5704.399902
2013-04-02,578.2656,5748.100098
2013-04-03,578.14797,5672.899902
2013-04-04,560.93157,5574.75
2013-04-05,558.16593,5553.25
2013-04-08,551.5532599999999,5542.950195
2013-04-09,538.78687,5495.100098
2013-04-10,548.3879599999999,5558.700195
2013-04-11,568.06929,5594.0
2013-04-12,447.30524,5528.549805
2013-04-15,455.56404000000003,5568.399902
2013-04-16,447.22735,5688.950195
2013-04-17,444.81305,5688.700195
2013-04-18,447.1206,5783.100098
2013-04-19,447.1206,5783.100098
2013-04-22,437.1588,5834.399902
2013-04-23,440.60535999999996,5836.899902
2013-04-24,440.60535999999996,5836.899902
2013-04-25,433.87662,5916.299805
2013-04-26,430.81883,5871.450195
2013-04-29,434.18827000000005,5904.100098
2013-04-30,435.38567,5930.200195
2013-05-01,435.38567,5930.200195
2013-05-02,445.36772,5999.350098
2013-05-03,449.50609000000003,5944.0
2013-05-06,455.96293,5971.049805
2013-05-07,457.46261,6043.549805
2013-05-08,457.82252,6069.299805
2013-05-09,459.91660999999993,6050.149902
2013-05-10,461.89387999999997,6094.75
2013-05-13,455.67079,5980.450195
2013-05-14,457.70645,5995.399902
2013-05-15,459.73122,6146.75
2013-05-16,454.30744000000004,6169.899902
2013-05-17,458.03754000000004,6187.299805
2013-05-20,461.99125999999995,6156.899902
2013-05-21,466.96712,6114.100098
2013-05-22,464.57151,6094.5
2013-05-23,459.61515,5967.049805
2013-05-24,457.28729000000004,5983.549805
2013-05-27,462.11745999999994,6083.149902
2013-05-28,460.85149,6111.25
2013-05-29,458.16373,6104.299805
2013-05-30,477.97477000000003,6124.049805
2013-05-31,492.31575,5985.950195
2013-06-03,513.21935,5939.299805
2013-06-04,509.50402,5919.450195
2013-06-05,502.43032,5923.850098
2013-06-06,495.97959000000003,5921.399902
2013-06-07,499.48096,5881.0
2013-06-10,507.63659,5878.0
2013-06-11,505.33966,5788.799805
2013-06-12,494.28609000000006,5760.200195
2013-06-13,485.8242,5699.100098
2013-06-14,488.89607,5808.399902
2013-06-17,494.54087000000004,5850.049805
2013-06-18,499.43032,5813.600098
2013-06-19,497.75640999999996,5822.25
2013-06-20,483.61957,5655.899902
2013-06-21,493.75532000000004,5667.649902
2013-06-24,485.92627000000005,5590.25
2013-06-25,484.59938,5609.100098
2013-06-26,489.80485999999996,5588.700195
2013-06-27,506.82987,5682.350098
2013-06-28,510.10667,5842.200195
2013-07-01,500.33832,5898.850098
2013-07-02,490.73329,5857.549805
2013-07-03,490.84598,5770.899902
2013-07-04,503.80864,5836.950195
2013-07-05,501.39982000000003,5867.899902
2013-07-08,503.83884000000006,5811.549805
2013-07-09,509.97355,5859.0
2013-07-10,510.57534000000004,5816.700195
2013-07-11,516.12869,5935.100098
2013-07-12,572.43929,6009.0
2013-07-15,559.8849,6030.799805
2013-07-16,557.04742,5955.25
2013-07-17,561.54904,5973.299805
2013-07-18,571.73542,6038.049805
2013-07-19,581.26779,6029.200195
2013-07-22,587.2497900000001,6031.799805
2013-07-23,592.39322,6077.799805
2013-07-24,593.7511599999999,5990.5
2013-07-25,595.1188599999999,5907.5
2013-07-26,594.71059,5886.200195
2013-07-29,596.32325,5831.649902
2013-07-30,603.36595,5755.049805
2013-07-31,606.21325,5742.0
2013-08-01,607.23393,5727.850098
2013-08-02,614.20561,5677.899902
2013-08-05,614.25705,5685.399902
2013-08-06,609.8273,5542.25
2013-08-07,604.9280200000001,5519.100098
2013-08-08,605.1729799999999,5565.649902
2013-08-09,605.1729799999999,5565.649902
2013-08-12,613.51152,5612.399902
2013-08-13,629.47503,5699.299805
2013-08-14,626.62689,5742.299805
2013-08-15,626.62689,5742.299805
2013-08-16,607.9998400000001,5507.850098
2013-08-19,613.42989,5414.75
2013-08-20,613.76629,5401.450195
2013-08-21,603.98898,5302.549805
2013-08-22,616.53275,5408.450195
2013-08-23,612.55209,5471.75
2013-08-26,618.6761799999999,5476.5
2013-08-27,623.85146,5287.450195
2013-08-28,636.1396599999999,5285.0
2013-08-29,633.76189,5409.049805
2013-08-30,634.0174599999999,5471.799805
2013-09-02,629.9445,5550.75
2013-09-03,619.28859,5341.450195
2013-09-04,635.41537,5448.100098
2013-09-05,613.3890700000001,5592.950195
2013-09-06,618.33978,5680.399902
2013-09-09,618.33978,5680.399902
2013-09-10,644.84646,5896.75
2013-09-11,636.72187,5913.149902
2013-09-12,625.852,5850.700195
2013-09-13,618.1356400000001,5850.600098
2013-09-16,611.06188,5840.549805
2013-09-17,617.02271,5850.200195
2013-09-18,615.90972,5899.450195
2013-09-19,616.2878,6115.549805
2013-09-20,611.41872,6012.100098
2013-09-23,616.36943,5889.75
2013-09-24,615.49168,5892.450195
2013-09-25,614.3787,5873.850098
2013-09-26,614.9200900000001,5882.25
2013-09-27,613.75652,5833.200195
2013-09-30,615.0629799999999,5735.299805
2013-10-01,615.47125,5780.049805
2013-10-02,615.47125,
2013-10-03,619.99245,5909.700195
2013-10-04,615.75702,5907.299805
2013-10-07,616.87,5906.149902
2013-10-08,619.38004,5928.399902
2013-10-09,634.8340099999999,6007.450195
2013-10-10,638.45703,6020.950195
2013-10-11,668.44465,6096.200195
2013-10-14,678.62126,6112.700195
2013-10-15,684.83681,6089.049805
2013-10-16,684.83681,
2013-10-17,683.51931,6045.850098
2013-10-18,693.14985,6189.350098
2013-10-21,697.5196900000001,6204.950195
2013-10-22,698.9634900000001,6202.799805
2013-10-23,695.29295,6178.350098
2013-10-24,691.93693,6164.350098
2013-10-25,696.70495,6144.899902
2013-10-28,695.0102099999999,6101.100098
2013-10-29,697.5515,6220.899902
2013-10-30,695.10471,6251.700195
2013-10-31,692.17699,6299.149902
2013-11-01,685.23411,6307.200195
2013-11-04,685.23411,
2013-11-05,682.96556,6253.149902
2013-11-06,691.39237,6215.149902
2013-11-07,702.15221,6187.25
2013-11-08,702.66496,6140.75
2013-11-11,703.19782,6078.799805
2013-11-12,697.81331,6018.049805
2013-11-13,696.8095099999999,5989.600098
2013-11-14,701.45122,6056.149902
2013-11-15,701.45122,
2013-11-18,711.87644,6189.0
2013-11-19,720.00044,6203.350098
2013-11-20,711.47907,6122.899902
2013-11-21,699.38173,5999.049805
2013-11-22,700.06098,5995.450195
2013-11-25,695.54389,6115.350098
2013-11-26,693.49447,6059.100098
2013-11-27,688.70557,6057.100098
2013-11-28,695.9203200000001,6091.850098
2013-11-29,701.51478,6176.100098
2013-12-02,698.19975,6217.850098
2013-12-03,700.30185,6201.850098
2013-12-04,703.77332,6160.950195
2013-12-05,700.8347200000001,6241.100098
2013-12-06,695.50208,6259.899902
2013-12-09,698.22068,6363.899902
2013-12-10,704.9235,6332.850098
2013-12-11,705.65543,6307.899902
2013-12-12,703.45964,6237.049805
2013-12-13,705.55087,6168.399902
2013-12-16,721.94529,6154.700195
2013-12-17,722.80354,6139.049805
2013-12-18,723.03272,6217.149902
2013-12-19,734.49269,6166.649902
2013-12-20,742.67024,6274.25
2013-12-23,725.33308,6284.5
2013-12-24,729.0872400000001,6268.399902
2013-12-25,729.0872400000001,
2013-12-26,736.2493,6278.899902
2013-12-27,744.7506,6313.799805
2013-12-30,732.4232,6291.100098
2013-12-31,728.9299900000001,6304.0
2014-01-01,725.2393900000001,
2014-01-02,727.8643099999999,6221.149902
2014-01-03,745.55529,6211.149902
2014-01-06,735.67462,6191.450195
2014-01-07,722.96998,6162.25
2014-01-08,716.8954,6174.600098
