,ACC,ADANIPORTS,AMBUJACEM
2007-04-30,672.31,,94.8599
2007-05-01,,,94.8599
2007-05-02,,,94.8599
2007-05-03,682.85,,97.9562
2007-05-04,688.58,,96.7097
2007-05-07,690.78,,96.589
2007-05-08,709.85,,96.9911
2007-05-09,700.59,,97.4335
2007-05-10,700.92,,97.152
2007-05-11,681.41,,96.1467
2007-05-14,696.47,,99.4843
2007-05-15,701.64,,99.243
2007-05-16,698.71,,98.8811
2007-05-17,711.77,,99.243
2007-05-18,702.16,,95.9054
2007-05-21,699.43,,95.262
2007-05-22,713.45,,93.3319
2007-05-23,708.01,,92.3668
2007-05-24,689.7,,92.4874
2007-05-25,687.42,,91.5625
2007-05-28,698.19,,93.2916
2007-05-29,697.15,,92.2461
2007-05-30,689.26,,92.6885
2007-05-31,681.65,,91.2006
2007-06-01,682.85,,92.3266
2007-06-04,670.99,,91.5625
2007-06-05,669.87,,90.3562
2007-06-06,658.58,,89.0292
2007-06-07,644.44,,88.1043
2007-06-08,614.59,,87.9435
2007-06-11,611.51,,87.9033
2007-06-12,645.6,,88.4662
2007-06-13,640.11,,87.863
2007-06-14,661.22,,89.1498
2007-06-15,659.02,,88.3858
2007-06-18,660.82,,88.7477
2007-06-19,676.8,,90.9191
2007-06-20,680.81,,95.0208
2007-06-21,684.69,,96.3075
2007-06-22,682.77,,93.6133
2007-06-25,689.5,,94.8599
2007-06-26,678.28,,93.3721
2007-06-27,665.22,,93.3721
2007-06-28,720.22,,100.7711
2007-06-29,749.02,,100.1277
2007-07-02,752.95,,98.5192
2007-07-03,753.35,,100.3287
2007-07-04,818.88,,104.5912
2007-07-05,823.73,,104.4304
2007-07-06,833.9,,105.4356
2007-07-09,839.51,,106.8029
2007-07-10,829.78,,104.2293
2007-07-11,858.42,,102.7012
2007-07-12,861.54,,101.7361
2007-07-13,884.18,,103.7065
2007-07-16,898.4,,107.5669
2007-07-17,888.22,,110.5426
2007-07-18,906.33,,111.95
2007-07-19,918.98,,111.3468
2007-07-20,888.38,,109.6177
2007-07-23,908.97,,108.8537
2007-07-24,894.31,,107.8484
2007-07-25,853.69,,103.4251
2007-07-26,821.57,,100.57
2007-07-27,801.38,,100.6504
2007-07-30,823.29,,104.2293
2007-07-31,852.29,,105.6769
2007-08-01,774.78,,103.6663
2007-08-02,793.2,,104.9129
2007-08-03,813.03,,105.8148
2007-08-06,792.91,,103.72399999999999
2007-08-07,799.59,,104.0519
2007-08-08,829.95,,106.2248
2007-08-09,810.03,,104.2979
2007-08-10,811.41,,103.8879
2007-08-13,818.57,,106.5118
2007-08-14,801.33,,106.3068
2007-08-15,,,106.5118
2007-08-16,792.39,,104.3389
2007-08-17,769.6,,103.806
2007-08-20,780.0,,104.7899
2007-08-21,757.78,,104.0109
2007-08-22,770.29,,106.7578
2007-08-23,787.17,,108.9307
2007-08-24,817.89,,111.1855
2007-08-27,839.01,,109.4636
2007-08-28,832.17,,109.9146
2007-08-29,842.41,,109.3406
2007-08-30,867.55,,109.3816
2007-08-31,864.11,,109.4226
2007-09-03,867.23,,109.9146
2007-09-04,888.96,,111.6775
2007-09-05,880.95,,112.8664
2007-09-06,892.36,,115.6543
2007-09-07,881.51,,114.7113
2007-09-10,885.44,,118.3601
2007-09-11,894.59,,117.2942
2007-09-12,891.92,,116.3512
2007-09-13,913.89,,118.2781
2007-09-14,896.25,,118.4831
2007-09-17,899.65,,119.1801
2007-09-18,907.82,,120.164
2007-09-19,935.31,,120.861
2007-09-20,923.49,,119.426
2007-09-21,917.5,,121.1479
2007-09-24,920.33,,121.5169
2007-09-25,931.38,,120.82
2007-09-26,938.58,,121.025
2007-09-27,962.18,,118.5241
2007-09-28,969.06,,118.4831
2007-10-01,979.67,,121.3529
2007-10-02,,,121.3529
2007-10-03,994.52,,118.8931
2007-10-04,985.45,,120.943
2007-10-05,953.56,,120.738
2007-10-08,902.72,,118.9751
2007-10-09,952.18,,122.1319
2007-10-10,986.67,,124.2228
2007-10-11,1019.82,,125.1657
2007-10-12,1012.78,,122.5009
2007-10-15,1044.1,,124.5917
2007-10-16,1030.71,,125.2887
2007-10-17,973.84,,121.3939
2007-10-18,840.47,,118.9751
2007-10-19,802.63,,114.4653
2007-10-22,822.34,,119.0161
2007-10-23,863.5,,118.0731
2007-10-24,872.69,,118.1141
2007-10-25,855.49,,119.836
2007-10-26,874.15,,118.4421
2007-10-29,879.77,,118.1551
